CHAR,ORDER
p,24
p̓,25
m,18
m̓,19
t̕ᶿ,38
θ,34
t,32
t̕,33
c,36
c̓,37
s,30
n,20
n̓,21
ƛ̓,35
ł,17
l,15
l̕,16
č̓,4
š,31
y,45
y̓,46
k,12
k̓,
x
kʷ
k̓ʷ
xʷ
w
w̓
q
qʷ
x̌
x̌ʷ
ʔ
h
i
i:
e
e:
u
u:
o:
a
a:
ə
